city,debtInOneYear,debtOverOneYear,year
苗栗縣,"21,373","15,722",110
彰化縣,"15,267","6,928",110
南投縣,"9,976",0,110
雲林縣,"17,149","2,363",110
嘉義縣,"12,405","2,780",110
屏東縣,"16,360",0,110
臺東縣,"3,157",450,110
花蓮縣,"7,800","3,520",110
澎湖縣,950,"1,146",110
基隆市,"7,600",0,110
新竹市,"7,550","2,300",110
嘉義市,0,0,110
金門縣,0,0,110
連江縣,0,0,110
